Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0),0.1>rho>0.001,Internationality(0.1>rho>0.001),0.99>rho>0.9,Internationality(0.99>rho>0.9),0.9>rho>0.101,Internationality(0.9>rho>0.101),rho>1,Internationality(rho>1)
Humboldt University of Berlin,113,29,2930,697,0.5908436531,0.762116041,74,0.0009827209564448050,0.6710429150663060,0.0010062115585484600,0.6710430427371460,0.9000016020526640,0.6759361559000860,0.10104928808591000,0.6715869797356950,998569.1673606580,0.0
Emory University,62,15,1542,678,0.5554567901000000,0.560311284,80,0.00037808103280445600,0.5578787587773720,0.001036777891845490,0.5578787622554140,0.900001854150187,0.5578835090334840,0.10129068616150200,0.5578792916224140,335403.89392421300,0.0
University of Sussex,55,21,873,137,0.5006676309,0.8430698740000000,146,0.001482717005474530,0.6497232384546900,0.0010209587413823000,0.6497130547898530,0.900002279551075,0.6696599087264820,0.10185087205689000,0.6519402961264350,577338.210625741,0.0
Yale University,139,38,2698,1122,0.4474134631,0.5841363973,8,0.00041255531736328300,0.5112263735891120,0.001052236344922770,0.5112292801245790,0.9000042653372730,0.5153203902920000,0.10149523029475900,0.511685856563126,933144.3957185620,0.0
University of Malaysia Perlis,25,4,238,45,0.3790391156462590,0.8109243697,601-800,0.00012404535436494300,0.5544164224209950,0.0010239713061610000,0.5544524973801360,0.9000047105968880,0.5909592298481420,0.10125859253383800,0.5584842774219730,628116.6425181470,0.0
Kafrelsheikh University,2,0,20,9,0.01,0.55,601-800,0.00014609527569220400,0.07418373701713170,0.0011749067702450400,0.07433709751157480,0.9000048793166770,0.2623071366021460,0.1013926570413710,0.090776132391957,47947.50564596620,0.0
King Khalid University,11,4,127,50,0.3333333333333330,0.6062992126,601-800,0.0009588174995238670,0.44957432697838400,0.0011065178621551300,0.44957729749357300,0.9000058971121670,0.4678009771969770,0.10119676715772100,0.4515944971904490,73733.50687766610,0.0
University of Ibadan,1,0,0,0,0.01,0.0,501-600,0.0012204920561743600,2.25725444064422E-249,0.0010064809589598300,8.09850193791775E-302,0.9000063562522680,0.004629398741794910,0.10107006084403000,1.05092335926752E-05,76486.04111732300,0.0
Atilim University,31,6,416,85,0.6388888888888890,0.7956730769,801-1000,0.00032725505730346600,0.7129857579632890,0.0010052954637793700,0.7129886683421810,0.9000085977079850,0.7168516666003490,0.1013642786920340,0.7134195651145010,367807.735790203,0.0
University of Freiburg,107,24,2428,656,0.4646057237,0.7298187809000000,86,6.55458570109069E-06,0.5823041268920350,0.0010404465737312800,0.5823194752595550,0.9000089907644280,0.5957260840225250,0.10163124846169700,0.5838145729559570,577459.79798114,0.0
Dartmouth College,77,17,1552,483,0.4722488996,0.6887886598,94,0.0001500085534762440,0.5703344846498730,0.0010473160425196900,0.5703435974815250,0.9000111320653230,0.5795024740182260,0.1017538623882510,0.5713672102675120,643667.3349682180,0.0
University of Munster,77,20,2025,348,0.47998285890000000,0.8281481481,189,0.00023594349482225500,0.6304790966623880,0.0010965440005310500,0.6304992750224550,0.9000124861350360,0.651716995484156,0.10239441786727700,0.6328785940430600,837098.9952814460,0.0
Hanoi University of Science & Technology,15,10,160,8,0.6833472222222220,0.95,801-1000,0.000246387637767409,0.8057196792258300,0.001007154767785510,0.8057279959135470,0.9000130677482420,0.8155798670254500,0.10166748932176800,0.8068291176754880,64593.50597348780,0.0
University of Peradeniya,3,3,35,4,0.5555555555555560,0.8857142857000000,401-500,3.50599425018583E-05,0.7014730432059050,0.0010932112713246100,0.7014932287385370,0.9000136673673130,0.7187251213879750,0.10106897490789500,0.7034028320993400,171911.84608391400,0.0
University of Mannheim,27,8,228,52,0.5244270833,0.7719298246000000,157,0.0001990595881201650,0.6362577443401890,0.0010217219759068900,0.6362675226347490,0.9000145443511840,0.6469889749428070,0.10143552367962100,0.6374621088372370,83879.7994110962,0.0
Radboud University Nijmegen,104,37,1842,342,0.42329532660000000,0.8143322476,128,4.23866678740392E-05,0.5871154898802620,0.0010026837126081700,0.5871456617301840,0.9000148809458550,0.6156642739883960,0.10113472785274600,0.5902996817325210,935031.8242210440,0.0
Maastricht University,47,19,958,140,0.5157405860000000,0.8538622129000000,127,0.0009158381730720590,0.663624161245122,0.0011083559128906000,0.6636282205462830,0.900015171028515,0.6826900577263470,0.10101128371716300,0.6657378297403920,93089.83573895500,0.0
