Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,cost,rho,Internationality(1>rho>0),Internationality(0.1>rho>0.001),Internationality(0.99>rho>0.9),Internationality(0.9>rho>0.101),Internationality(rho>1)
AGH University of Science & Technology,29,3,54,33,0.3061728395061729,0.38888888899999996,0.0,0.0,484140.91138079984,0.37969977981439834,0.3797001560758153,0.38053062544768257,0.37979737282729664,0.0
Al Azhar University,5,1,74,17,0.6666666666666666,0.77027027,0.0,0.0,584770.9468581824,0.7592249773393096,0.7592243917438246,0.759843627758805,0.7592954237664277,0.0
Al-Imam Muhammad Ibn Saud Islamic University,2,0,7,2,0.01,0.7142857140000001,0.0,0.0,846828.6262150209,0.4662308142817504,0.4665254060131778,0.6370616023510846,0.5019032082486081,0.0
Alexandria University,5,2,46,3,0.5833333333333334,0.9347826090000001,0.0,0.0,390601.65891399677,0.8917263730415028,0.8917356189233044,0.8989320774290135,0.8926171423042836,0.0
Amity University,3,0,3,1,0.01,0.666666667,0.0,0.0,548141.0999243303,0.4381566618057914,0.4384002905705292,0.5946917081691453,0.47062584535658153,0.0
Amrita Vishwa Vidyapeetham,4,0,10,1,0.01,0.9,0.0,0.0,957180.2402013844,0.5738991569286667,0.5744264150788484,0.8022954543509536,0.6230077217170679,0.0
Ankara University,3,2,12,2,0.284375,0.833333333,0.0,0.0,158454.8605280237,0.7483955142081549,0.7484257272191421,0.7761260178952584,0.7522258853838493,0.0
Aoyama Gakuin University,15,0,29,6,0.01,0.793103448,0.0,0.0,434717.7353433701,0.5127828928803916,0.5126103969235799,0.7071897775660005,0.55354561078514,0.0
Arizona State University,80,19,558,189,0.38701502855410863,0.661290323,50.0,0.0,355671.5905469767,0.626798392195242,0.6268036171525668,0.6332427968105583,0.6276018211265484,0.0
Auburn University,7,1,52,7,1.0,0.865384615,0.0,0.9721038443949707,81.38211495021261,0.8779876097552303,0.8779882961093981,0.8787573402285281,0.8780713045107678,0.9721038443949707
Australian National University,56,20,1901,137,0.4929128596571779,0.927932667,41.0,0.0,42614.12034177391,0.8710813662691913,0.8710653618850643,0.8832834156060883,0.8726077286571982,0.0
Babes Bolyai University from Cluj,7,2,28,5,0.32291666666666663,0.8214285709999999,0.0,0.0,162705.9827722414,0.7482269456980829,0.7482369125704272,0.7697186978630284,0.7511143305189926,0.0
Benemerita Universidad Autonoma de Puebla,15,2,45,14,0.2708333333333333,0.688888889,0.0,0.0,144665.33928812647,0.6274887520326975,0.6275120097564802,0.6455232147034426,0.6299165287911801,0.0
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1,50,3,0.3333333333333333,0.94,0.0,0.0,586672.2134098182,0.8474590313196216,0.847469564277607,0.8768575471312432,0.8514662802675296,0.0
Colorado State University,25,4,134,29,0.4088541666666666,0.78358209,181.0,0.0,853662.3749374964,0.7342321547739348,0.7342453372320488,0.7450957829262959,0.7356225599565436,0.0
Columbia University,72,13,1549,505,0.39416666666666667,0.673983215,51.0,0.0,698831.1296641006,0.6387834799813067,0.6387896851535133,0.6453678274945062,0.6396093447072304,0.0
Cornell University,121,16,3530,1378,0.42391276041666665,0.609631728,21.0,0.0,391769.20879020944,0.5878828931721326,0.5878833346290288,0.5907688621357019,0.5882293227670059,0.0
Ecole Polytechnique Federale de Lausanne,268,83,5320,475,0.3155297849166255,0.9107142859999999,0.0,0.0,269918.94399493834,0.8191349038274193,0.8191655040531256,0.8487201398507008,0.8231972653928842,0.0
Indian Institute of Science (IISC) - Bangalore,39,7,449,68,0.857142857142857,0.848552339,280.0,0.0,351813.7261353721,0.8494075025492415,0.84940750612051,0.8494110011739153,0.8494078963536762,0.0
Indian Institute of Technology (IIT BHU) - Varanasi,9,1,75,35,0.6666666666666666,0.533333333,237.0,0.0,442380.0881702147,0.5453681888960407,0.5453693632007087,0.5465297510425342,0.5454927606343277,0.0
Indian Institute of Technology (IIT) - Bombay,11,0,230,20,0.01,0.913043478,0.0,0.0,118926.31356156654,0.5817015104468103,0.5819309720844663,0.8139004221825903,0.6313042683507754,0.0
Indian Institute of Technology (IIT) - Delhi,25,6,210,36,0.3030555555555556,0.828571429,254.0,0.0,927111.158116039,0.7492943688641032,0.7493231535914354,0.7739284760723647,0.7526529861227441,0.0
Indian Institute of Technology (IIT) - Kharagpur,32,8,262,49,0.4633333333333333,0.812977099,0.0,0.0,311944.42608775763,0.7685307322659402,0.7685396634455949,0.7771855909045973,0.7696175832625104,0.0
Indian Institute of Technology (IIT) - Madras,37,7,329,53,0.5571428571428572,0.838905775,177.0,0.0,45084.59844864429,0.8052652000473839,0.8052705135967638,0.8102346859063955,0.8058716587369895,0.0
Indian Institute of Technology (IIT) - Roorkee,22,3,103,30,0.4133333333333333,0.708737864,0.0,0.0,984601.3958347946,0.6715328063742106,0.6715417345924293,0.678525256566689,0.6724096505239656,0.0
Johns Hopkins University,130,24,3047,1185,0.383062123383304,0.611092878,27.0,0.0,915245.4702817445,0.5832165426433644,0.583213812265003,0.5878363795883914,0.5837816746681513,0.0
Manipal University,5,2,39,15,0.5,0.615384615,0.0,0.0,905572.2858415195,0.6027388433071338,0.6027398087975574,0.6037408711201282,0.602856505502698,0.0
McGill University,103,38,1634,215,0.5527948343079923,0.8684210529999999,22.0,0.0,754875.8707669999,0.8300691650814334,0.8300757576539448,0.8362508266443215,0.8308324350869094,0.0
National Institute of Technology Karnataka,2,0,13,8,0.01,0.384615385,0.0,0.0,617097.041417138,0.26720496504384317,0.2671943938603208,0.3437090613626262,0.2821707642670298,0.0
North Carolina State University,31,2,279,105,0.3333333333333333,0.623655914,224.0,0.0,932394.444387953,0.5857878386333236,0.585796048134102,0.5938650228218924,0.5868307626120741,0.0
PES University,2,0,9,2,0.01,0.7777777779999999,0.0,0.0,429515.07367773034,0.503366505744991,0.5036634670740993,0.6935541681474551,0.5433824435508099,0.0
RWTH Aachen University,59,17,496,99,0.314973905080857,0.8004032259999999,110.0,0.0,563549.7252604668,0.7291585538422827,0.7291593512363114,0.7500502100125684,0.7319802107356055,0.0
Simon Fraser University,66,15,593,97,0.4620833333333334,0.8364249579999999,60.0,0.0,438478.7191182762,0.78825576201168,0.7882493562754317,0.7980599431857314,0.7894839570978042,0.0
Sogang University,19,10,163,34,0.33885185185185185,0.791411043,0.0,0.0,642835.041780826,0.7270515588110072,0.7270714618279778,0.7446013092421104,0.7294022195453163,0.0
State University of New York (SUNY) Binghamton,13,2,120,28,0.5,0.7666666670000001,0.0,0.0,229614.34976639718,0.734589039680096,0.7345928165091968,0.7395122782097451,0.735190643268132,0.0
University of British Columbia,85,26,1642,147,0.3759775641025641,0.91047503,52.0,0.0,32750.03693051068,0.8334165968538082,0.8334381056066125,0.8551227191881634,0.8363061980564841,0.0
University of Edinburgh,83,34,860,51,0.28075664697662284,0.940697674,30.0,0.0,135708.36361280343,0.8335653977400385,0.8336190126777328,0.871647398963689,0.83899120806909,0.0
University of Guelph,45,23,232,33,0.2982004830917874,0.8577586209999999,0.0,0.0,357853.70652027434,0.7717632483387399,0.7717949776406474,0.799481015818239,0.7755723436250574,0.0
University of Michigan,218,35,3916,1290,0.3685238296502033,0.670582227,40.0,0.0,399541.01959612634,0.6316183196353955,0.6316266882149338,0.6396193474324633,0.6326379577022118,0.0
University of Montreal,56,10,771,126,0.1831309523809524,0.836575875,109.0,0.0,949028.2255785015,0.7188953838519154,0.7187470431472885,0.7676042328735948,0.725970111959269,0.0
